line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Myron Boadu,17,AZ Alkmaar,NLD - Eredivisie,both,180,Netherlands  Ghana,CF,12,,,,,
Ferdy Druijf,20,AZ Alkmaar,NLD - Eredivisie,right,190,Netherlands,CF,12,,,,,
Patrick Joosten,21,FC Utrecht,NLD - Eredivisie,right,185,Netherlands,W,12,,,,,
Gyrano Kerk,22,FC Utrecht,NLD - Eredivisie,right,175,Netherlands  Suriname,W,12,13,0,1004,0,
Bilal Ould-Chikh,20,FC Utrecht,NLD - Eredivisie,left,170,Morocco  Netherlands,W,12,7,0,453,0,
Jean-Christophe Bahebeck,24,FC Utrecht,NLD - Eredivisie,right,182,France  Cameroon,CF,12,33,6,1728,3,
Cyriel Dessers,23,FC Utrecht,NLD - Eredivisie,both,185,Belgium  Nigeria,CF,12,,,,,
Simon Makienok,27,FC Utrecht,NLD - Eredivisie,right,201,Denmark,CF,12,33,15,2606,4,
Lukas Görtler,23,FC Utrecht,NLD - Eredivisie,right,183,Germany,CF,12,29,2,1563,3,
Nick Venema,18,FC Utrecht U21,NLD - Eredivisie,right,181,Netherlands,CF,12,,,,,
Arber Zeneli,23,SC Heerenveen,NLD - Eredivisie,right,176,Kosovo  Sweden,W,12,39,15,2852,8,
Nemanja Mihajlovic,22,SC Heerenveen,NLD - Eredivisie,right,173,Serbia,W,12,4,0,41,0,
Martin Ödegaard,19,SC Heerenveen,NLD - Eredivisie,left,178,Norway,W,12,,,,,
Marco Rojas,26,SC Heerenveen,NLD - Eredivisie,right,168,New Zealand  Chile,W,12,27,15,2358,6,
Reza Ghoochannejhad,30,SC Heerenveen,NLD - Eredivisie,left,180,Iran  Netherlands,CF,12,22,12,1373,5,
Henk Veerman,27,SC Heerenveen,NLD - Eredivisie,right,201,Netherlands,CF,12,20,15,1554,0,
Bryan Linssen,27,Vitesse Arnhem,NLD - Eredivisie,right,170,Netherlands,W,12,39,10,3010,3,
Lars ten Teije,19,Vitesse Arnhem U21,NLD - Eredivisie,,0,Netherlands,W,12,,,,,
Roy Beerens,30,Vitesse Arnhem,NLD - Eredivisie,,173,Netherlands,W,12,41,5,3291,9,
Mitchell van Bergen,18,Vitesse Arnhem,NLD - Eredivisie,right,170,Netherlands,W,12,,,,,
Tim Matavz,29,Vitesse Arnhem,NLD - Eredivisie,right,188,Slovenia,CF,12,39,20,2505,11,
Luc Castaignos,25,Vitesse Arnhem,NLD - Eredivisie,right,188,Netherlands  France,CF,12,51,16,3715,6,
Mimoun Mahi,23,FC Groningen,NLD - Eredivisie,right,181,Morocco  Netherlands,W,12,43,9,2484,0,
Ajdin Hrustic,21,FC Groningen,NLD - Eredivisie,left,183,Australia  Bosnia-Herzegovina,W,12,6,1,203,1,
Uriel Antuna,20,FC Groningen,NLD - Eredivisie,right,174,Mexico,W,12,,,,,
Lars Veldwijk,26,FC Groningen,NLD - Eredivisie,,196,South Africa  Netherlands,CF,12,36,19,2921,6,
Tom van Weert,27,FC Groningen,NLD - Eredivisie,right,181,Netherlands,CF,12,36,19,3112,4,
Youness Mokhtar,26,PEC Zwolle,NLD - Eredivisie,right,178,Morocco  Netherlands,W,12,38,10,3175,5,
Queensy Menig,22,PEC Zwolle,NLD - Eredivisie,right,174,Netherlands  Suriname,W,12,22,1,1732,1,
Terell Ondaan,24,PEC Zwolle,NLD - Eredivisie,,175,Netherlands  Suriname,W,12,16,4,614,2,
Younes Namli,23,PEC Zwolle,NLD - Eredivisie,left,180,Denmark  Morocco,W,12,0,0,0,0,
Athanasios Karagounis,26,PEC Zwolle,NLD - Eredivisie,both,177,Greece,W,12,30,5,1249,0,
Piotr Parzyszek,24,PEC Zwolle,NLD - Eredivisie,both,191,Poland  Netherlands,CF,12,40,18,2788,5,
Stef Nijland,29,PEC Zwolle,NLD - Eredivisie,both,187,Netherlands,CF,12,16,3,1010,0,
Oussama Assaidi,29,FC Twente Enschede,NLD - Eredivisie,right,175,Morocco  Netherlands,W,12,14,0,717,1,
Adnane Tighadouini,25,FC Twente Enschede,NLD - Eredivisie,both,180,Morocco  Netherlands,W,12,26,7,1736,9,
Dylan George,19,FC Twente Enschede,NLD - Eredivisie,right,0,Netherlands,W,12,,,,,
Luciano Slagveer,24,FC Twente Enschede,NLD - Eredivisie,right,179,Netherlands  Suriname,W,12,33,16,2425,1,
Tom Boere,25,FC Twente Enschede,NLD - Eredivisie,right,185,Netherlands,CF,12,0,0,0,0,
Mounir El Hamdaoui,33,FC Twente Enschede,NLD - Eredivisie,right,183,Morocco  Netherlands,CF,12,20,3,647,1,
Marko Kvasina,21,FC Twente Enschede,NLD - Eredivisie,right,194,Austria  Croatia,CF,12,19,11,1079,0,
Jari Oosterwijk,23,FC Twente Enschede,NLD - Eredivisie,,194,Netherlands,CF,12,17,5,736,0,
Ricardo Kishna,23,ADO Den Haag,NLD - Eredivisie,left,183,Netherlands  Suriname,W,12,2,0,62,0,
Édouard Duplan,34,ADO Den Haag,NLD - Eredivisie,right,179,France,W,12,27,6,1988,2,
Melvyn Lorenzen,23,ADO Den Haag,NLD - Eredivisie,right,188,Uganda  Germany,W,12,20,7,1426,0,
Sheraldo Becker,23,ADO Den Haag,NLD - Eredivisie,right,180,Netherlands  Suriname,W,12,10,0,742,0,
Elson Hooi,26,ADO Den Haag,NLD - Eredivisie,right,169,Curacao  Netherlands,W,12,37,6,2702,4,
Björn Johnsen,26,ADO Den Haag,NLD - Eredivisie,right,195,Norway  United States,CF,12,2,0,68,0,
Delano Ladan,18,ADO Den Haag,NLD - Eredivisie,both,177,Netherlands,CF,12,,,,,
Kristoffer Peterson,23,Heracles Almelo,NLD - Eredivisie,right,180,Sweden,W,12,8,1,520,0,
Zeki Erkilinc,20,Heracles Almelo,NLD - Eredivisie,right,174,Netherlands  Turkey,W,12,,,,,
Brandley Kuwas,25,Heracles Almelo,NLD - Eredivisie,left,181,Curacao  Netherlands,W,12,46,7,2931,5,
Brahim Darri,23,Heracles Almelo,NLD - Eredivisie,right,175,Netherlands  Morocco,W,12,27,11,2046,0,
Jaroslav Navrátil,26,Heracles Almelo,NLD - Eredivisie,,176,Czech Republic,W,12,16,8,1153,0,
Paul Gladon,25,Heracles Almelo,NLD - Eredivisie,,188,Netherlands,CF,12,34,12,2398,0,
Vincent Vermeij,23,Heracles Almelo,NLD - Eredivisie,,196,Netherlands,CF,12,9,1,433,0,
Kai Huisman,22,Heracles Almelo,NLD - Eredivisie,right,177,Netherlands,CF,12,1,1,90,0,
Mo El Hankouri,20,Willem II Tilburg,NLD - Eredivisie,right,176,Netherlands  Morocco,W,12,,,,,
Karim Coulibaly,24,Willem II Tilburg,NLD - Eredivisie,left,184,France  Senegal,W,12,11,0,344,0,
Kristófer Ingi Kristinsson,18,Willem II Tilburg U21,NLD - Eredivisie,left,190,Iceland,W,12,,,,,
Ismail Azzaoui,20,Willem II Tilburg,NLD - Eredivisie,right,177,Belgium  Morocco,W,12,,,,,
Jordy Croux,24,Willem II Tilburg,NLD - Eredivisie,left,172,Belgium,W,12,9,1,389,2,
Asumah Abubakar,20,Willem II Tilburg,NLD - Eredivisie,right,183,Portugal  Ghana,W,12,,,,,
Fran Sol,25,Willem II Tilburg,NLD - Eredivisie,,180,Spain,CF,12,15,1,523,0,
Bartholomew Ogbeche,33,Willem II Tilburg,NLD - Eredivisie,both,178,Nigeria  France,CF,12,8,1,553,0,
Etien Velikonja,29,Willem II Tilburg,NLD - Eredivisie,left,178,Slovenia,CF,12,7,0,247,0,
Dabney dos Santos,21,Sparta Rotterdam,NLD - Eredivisie,right,176,Netherlands  Cape Verde,W,12,,,,,
Craig Goodwin,26,Sparta Rotterdam,NLD - Eredivisie,left,180,Australia,W,12,25,3,1816,3,
Soufyan Ahannach,22,Sparta Rotterdam,NLD - Eredivisie,right,173,Netherlands  Morocco,W,12,2,0,17,0,
Loris Brogno,25,Sparta Rotterdam,NLD - Eredivisie,left,178,Belgium  Italy,W,12,8,0,169,0,
Thomas Verhaar,30,Sparta Rotterdam,NLD - Eredivisie,left,180,Netherlands,W,12,,,,,
Ilias Alhaft,21,Sparta Rotterdam,NLD - Eredivisie,left,171,Netherlands,W,12,,,,,
Michiel Kramer,29,Sparta Rotterdam,NLD - Eredivisie,right,196,Netherlands,CF,12,37,26,3197,7,
Fred Friday,22,Sparta Rotterdam,NLD - Eredivisie,both,187,Nigeria,CF,12,3,0,46,0,
Robert Mühren,28,Sparta Rotterdam,NLD - Eredivisie,both,187,Netherlands,CF,12,41,13,2170,5,
Nick Proschwitz,31,Sparta Rotterdam,NLD - Eredivisie,right,192,Germany,CF,12,31,5,1224,1,
Ragnar Ache,19,Sparta Rotterdam,NLD - Eredivisie,,187,Germany  Ghana,CF,12,,,,,
Thomas Agyepong,21,NAC Breda,NLD - Eredivisie,,0,Ghana,W,12,,,,,
Diego Snepvangers,19,NAC Breda,NLD - Eredivisie,left,175,Netherlands,W,12,,,,,
Giovanni Korte,24,NAC Breda,NLD - Eredivisie,right,170,Netherlands,W,12,29,12,1854,0,
Paolo Fernandes,19,NAC Breda,NLD - Eredivisie,left,167,Spain,W,12,,,,,
Umar Sadiq,21,NAC Breda,NLD - Eredivisie,right,192,Nigeria,CF,12,,,,,
Thierry Ambrose,20,NAC Breda,NLD - Eredivisie,right,178,France  Guadeloupe,CF,12,,,,,
Mitchell te Vrede,26,NAC Breda,NLD - Eredivisie,right,191,Netherlands,CF,12,21,10,1708,0,
Richelor Sprangers,20,NAC Breda,NLD - Eredivisie,,184,Haiti  Netherlands,CF,12,,,,,
Levi García,20,Excelsior Rotterdam,NLD - Eredivisie,left,182,Trinidad and Tobago,W,12,,,,,
Stanley Elbers,25,Excelsior Rotterdam,NLD - Eredivisie,right,172,Netherlands  Suriname,W,12,30,9,1944,0,
Jinty Caenepeel,21,Excelsior Rotterdam,NLD - Eredivisie,both,178,Belgium,W,12,,,,,
Mike van Duinen,26,Excelsior Rotterdam,NLD - Eredivisie,both,185,Netherlands,CF,12,35,11,2719,6,
Zakaria El Azzouzi,21,Excelsior Rotterdam,NLD - Eredivisie,right,177,Netherlands  Morocco,CF,12,0,0,0,0,
Gyliano van Velzen,23,Roda JC Kerkrade,NLD - Eredivisie,both,186,Netherlands  Suriname,W,12,12,1,687,2,
Mikhael Rosheuvel,27,Roda JC Kerkrade,NLD - Eredivisie,right,176,Netherlands  Suriname,W,12,45,11,2909,3,
Mario Engels,24,Roda JC Kerkrade,NLD - Eredivisie,right,184,Germany,W,12,17,1,1114,3,
Célestin Djim,22,Roda JC Kerkrade,NLD - Eredivisie,right,179,Belgium  Central African Republic,W,12,,,,,
Dani Schahin,28,Roda JC Kerkrade,NLD - Eredivisie,both,187,Germany,CF,12,34,8,1995,2,
Jorn Vancamp,19,Roda JC Kerkrade,NLD - Eredivisie,,186,Belgium,CF,12,,,,,
Maecky Ngombo,22,Roda JC Kerkrade,NLD - Eredivisie,,191,Belgium  DR Congo,CF,12,,,,,
Torino Hunte,27,VVV-Venlo,NLD - Eredivisie,right,184,Netherlands  Suriname,W,12,,,,,
Lugman Bezzat,21,VVV-Venlo,NLD - Eredivisie,,175,Netherlands  Morocco,W,12,,,,,
Vito van Crooij,22,VVV-Venlo,NLD - Eredivisie,left,179,Netherlands,W,12,0,0,0,0,
Romeo Castelen,34,VVV-Venlo,NLD - Eredivisie,right,170,Netherlands  Suriname,W,12,2,0,38,0,
Lennart Thy,26,VVV-Venlo,NLD - Eredivisie,right,184,Germany,CF,12,24,3,1590,1,
Emil Riis,19,VVV-Venlo,NLD - Eredivisie,,190,Denmark,CF,12,,,,,
Leroy Sané,22,Manchester City,GBR - Premier League,left,184,Germany  France,W,12,17,1,769,2,
Raheem Sterling,23,Manchester City,GBR - Premier League,right,170,England  Jamaica,W,12,38,3,2385,6,
Bernardo Silva,23,Manchester City,GBR - Premier League,left,173,Portugal,W,12,,,,,
Sergio Agüero,29,Manchester City,GBR - Premier League,right,173,Argentina  Spain,CF,12,40,17,2716,5,
Gabriel Jesus,20,Manchester City,GBR - Premier League,right,175,Brazil,CF,12,,,,,
Alexis Sánchez,29,Manchester United,GBR - Premier League,right,169,Chile,W,12,46,11,2625,13,Manchester United
Anthony Martial,22,Manchester United,GBR - Premier League,right,183,France  Guadeloupe,W,12,4,0,57,0,Manchester United
Jesse Lingard,25,Manchester United,GBR - Premier League,right,174,England,W,12,27,4,1991,7,Manchester United
Romelu Lukaku,24,Manchester United,GBR - Premier League,left,191,Belgium  DR Congo,CF,12,38,17,2250,7,Manchester United
Marcus Rashford,20,Manchester United,GBR - Premier League,right,185,England,CF,12,,,,,Manchester United
Zlatan Ibrahimovic,36,Manchester United,GBR - Premier League,both,195,Sweden  Bosnia-Herzegovina,CF,12,46,35,4083,17,Manchester United
Heung-Min Son,25,Tottenham Hotspur,GBR - Premier League,both,184,Korea South,W,12,34,12,2786,2,
Lucas,25,Tottenham Hotspur,GBR - Premier League,right,174,Brazil,W,12,15,0,1068,6,
Érik Lamela,26,Tottenham Hotspur,GBR - Premier League,left,184,Argentina  Spain,W,12,36,15,2857,6,
Harry Kane,24,Tottenham Hotspur,GBR - Premier League,right,188,England,CF,12,27,5,1330,6,
Fernando Llorente,33,Tottenham Hotspur,GBR - Premier League,right,193,Spain,CF,12,36,5,1327,3,
Eden Hazard,27,Chelsea FC,GBR - Premier League,both,173,Belgium,W,12,62,13,4523,24,
Pedro,30,Chelsea FC,GBR - Premier League,both,167,Spain,W,12,45,10,3415,12,
Willian,29,Chelsea FC,GBR - Premier League,right,175,Brazil,W,12,35,8,2660,15,
Álvaro Morata,25,Chelsea FC,GBR - Premier League,right,189,Spain,CF,12,33,14,2196,8,
Olivier Giroud,31,Chelsea FC,GBR - Premier League,left,192,France,CF,12,47,17,3201,12,
Sadio Mané,25,Liverpool FC,GBR - Premier League,right,175,Senegal,W,12,30,19,2481,10,
Ben Woodburn,18,Liverpool FC,GBR - Premier League,right,174,Wales  England,W,12,,,,,
Mohamed Salah,25,Liverpool FC,GBR - Premier League,left,175,Egypt,W,12,50,10,2873,11,
Danny Ings,25,Liverpool FC,GBR - Premier League,right,178,England,CF,12,33,3,1716,1,
Dominic Solanke,20,Liverpool FC,GBR - Premier League,right,186,England  Nigeria,CF,12,,,,,
Alex Iwobi,21,Arsenal FC,GBR - Premier League,right,183,Nigeria  England,W,12,,,,,
Pierre-Emerick Aubameyang,28,Arsenal FC,GBR - Premier League,right,187,Gabon  France,CF,12,45,21,3850,15,
Alexandre Lacazette,26,Arsenal FC,GBR - Premier League,right,175,France  Guadeloupe,CF,12,37,4,2756,10,
Danny Welbeck,27,Arsenal FC,GBR - Premier League,right,183,England  Ghana,CF,12,40,2,2162,5,
Yannick Bolasie,28,Everton FC,GBR - Premier League,both,185,DR Congo  England,W,12,48,3,3476,8,
Theo Walcott,28,Everton FC,GBR - Premier League,both,175,England,W,12,43,21,2988,16,
Cenk Tosun,26,Everton FC,GBR - Premier League,right,183,Turkey  Germany,CF,12,35,11,2721,9,
Dominic Calvert-Lewin,20,Everton FC,GBR - Premier League,right,187,England,CF,12,,,,,
Oumar Niasse,27,Everton FC,GBR - Premier League,right,182,Senegal,CF,12,,,,,
Nathan Redmond,24,Southampton FC,GBR - Premier League,right,173,England  Ireland,W,12,42,2,2455,7,
Dusan Tadic,29,Southampton FC,GBR - Premier League,left,181,Serbia,W,12,51,16,4342,22,
Josh Sims,20,Southampton FC,GBR - Premier League,left,168,England,W,12,,,,,
Manolo Gabbiadini,26,Southampton FC,GBR - Premier League,left,181,Italy,CF,12,31,7,1792,2,
Charlie Austin,28,Southampton FC,GBR - Premier League,right,188,England,CF,12,40,27,3420,3,
Shane Long,31,Southampton FC,GBR - Premier League,both,180,Ireland,CF,12,37,11,2351,5,
Guido Carrillo,26,Southampton FC,GBR - Premier League,right,191,Argentina  Italy,CF,12,28,4,1385,0,
Marko Arnautovic,28,West Ham United,GBR - Premier League,both,193,Austria  Serbia,W,12,27,5,2020,9,
Michail Antonio,27,West Ham United,GBR - Premier League,right,180,England  Jamaica,W,12,42,8,3695,11,
Chicharito,29,West Ham United,GBR - Premier League,right,175,Mexico,CF,12,36,18,2086,8,
Andy Carroll,29,West Ham United,GBR - Premier League,left,193,England,CF,12,26,7,1954,4,
Jordan Hugill,25,West Ham United,GBR - Premier League,right,183,England,CF,12,,,,,
Demarai Gray,21,Leicester City,GBR - Premier League,right,179,England  Jamaica,W,12,,,,,
Riyad Mahrez,27,Leicester City,GBR - Premier League,left,179,Algeria  France,W,12,38,5,2399,6,
Jamie Vardy,31,Leicester City,GBR - Premier League,right,179,England,CF,12,29,5,1638,4,
Kelechi Iheanacho,21,Leicester City,GBR - Premier League,left,184,Nigeria,CF,12,,,,,
Shinji Okazaki,31,Leicester City,GBR - Premier League,both,174,Japan,CF,12,42,4,2023,1,
Fousseni Diabaté,22,Leicester City,GBR - Premier League,left,175,Mali  France,CF,12,,,,,
Bakary Sako,29,Crystal Palace,GBR - Premier League,left,183,Mali  France,W,12,41,10,3354,11,
Wilfried Zaha,25,Crystal Palace,GBR - Premier League,right,180,Cote d'Ivoire  England,W,12,50,8,4350,12,
Andros Townsend,26,Crystal Palace,GBR - Premier League,left,177,England,W,12,27,5,1654,8,
Chung-Yong Lee,29,Crystal Palace,GBR - Premier League,right,180,Korea South,W,12,44,5,3169,8,
Christian Benteke,27,Crystal Palace,GBR - Premier League,right,190,Belgium  DR Congo,CF,12,47,27,4007,8,
Connor Wickham,24,Crystal Palace,GBR - Premier League,right,189,England  Northern Ireland,CF,12,25,7,1282,0,
Alexander Sörloth,22,Crystal Palace,GBR - Premier League,left,194,Norway,CF,12,0,0,0,0,
Eric Maxim Choupo-Moting,28,Stoke City,GBR - Premier League,right,191,Cameroon  Germany,W,12,11,1,644,1,
Jesé,25,Stoke City,GBR - Premier League,right,178,Spain,W,12,38,22,3134,12,
Ramadan Sobhi,21,Stoke City,GBR - Premier League,right,183,Egypt,W,12,,,,,
Xherdan Shaqiri,26,Stoke City,GBR - Premier League,left,169,Switzerland  Kosovo,W,12,39,8,1896,13,
Saido Berahino,24,Stoke City,GBR - Premier League,right,179,England  Burundi,CF,12,16,5,1065,3,
Mame Diouf,30,Stoke City,GBR - Premier League,right,185,Senegal,CF,12,36,17,2745,8,
Peter Crouch,37,Stoke City,GBR - Premier League,right,201,England  Ireland,CF,12,38,8,2530,6,
Richarlison,20,Watford FC,GBR - Premier League,right,179,Brazil,W,12,,,,,
Gerard Deulofeu,23,Watford FC,GBR - Premier League,right,177,Spain,W,12,37,18,2451,5,
André Carrillo,26,Watford FC,GBR - Premier League,right,181,Peru,W,12,31,3,1778,4,
Dodi Lukebakio,20,Watford FC,GBR - Premier League,left,187,Belgium  DR Congo,W,12,,,,,
Andre Gray,26,Watford FC,GBR - Premier League,right,178,England  Jamaica,CF,12,50,18,3937,10,
Troy Deeney,29,Watford FC,GBR - Premier League,right,184,England  Jamaica,CF,12,43,20,3295,10,
Stefano Okaka,28,Watford FC,GBR - Premier League,right,186,Italy  Nigeria,CF,12,38,7,2224,6,
Jerome Sinclair,21,Watford FC,GBR - Premier League,right,181,England  Jamaica,CF,12,2,0,99,0,
Nacer Chadli,28,West Bromwich Albion,GBR - Premier League,right,187,Belgium  Morocco,W,12,38,18,2927,11,
James McClean,28,West Bromwich Albion,GBR - Premier League,left,180,Ireland  Northern Ireland,W,12,41,5,2706,4,
Hal Robson-Kanu,28,West Bromwich Albion,GBR - Premier League,left,183,Wales  England,W,12,30,7,1685,5,
Oliver Burke,20,West Bromwich Albion,GBR - Premier League,right,188,Scotland,W,12,,,,,
Matt Phillips,26,West Bromwich Albion,GBR - Premier League,right,183,Scotland  England,W,12,34,4,2514,4,
Jonathan Leko,18,West Bromwich Albion,GBR - Premier League,right,182,England  DR Congo,W,12,,,,,
Daniel Sturridge,28,West Bromwich Albion,GBR - Premier League,left,180,England  Jamaica,CF,12,28,13,1560,6,
José Salomón Rondón,28,West Bromwich Albion,GBR - Premier League,right,186,Venezuela,CF,12,37,13,2834,2,
Jay Rodríguez,28,West Bromwich Albion,GBR - Premier League,right,185,England  Spain,CF,12,37,9,2355,8,
André Ayew,28,Swansea City,GBR - Premier League,left,176,Ghana  France,W,12,45,12,3846,5,
Wayne Routledge,33,Swansea City,GBR - Premier League,right,170,England  Jamaica,W,12,44,5,3056,10,
Kenji Gorré,23,Swansea City,GBR - Premier League,right,178,Curacao  Netherlands,W,12,,,,,
Luciano Narsingh,27,Swansea City,GBR - Premier League,right,175,Netherlands  Suriname,W,12,26,6,1817,9,
Nathan Dyer,30,Swansea City,GBR - Premier League,right,165,England  Jamaica,W,12,44,6,2859,5,
Wilfried Bony,29,Swansea City,GBR - Premier League,right,181,Cote d'Ivoire,CF,12,36,37,3063,10,
Tammy Abraham,20,Swansea City,GBR - Premier League,right,190,England  Nigeria,CF,12,,,,,
Jordan Ayew,26,Swansea City,GBR - Premier League,right,182,Ghana  France,CF,12,47,10,2696,5,
Christian Atsu,26,Newcastle United,GBR - Premier League,left,165,Ghana,W,12,31,1,1103,4,
Jacob Murphy,23,Newcastle United,GBR - Premier League,right,173,England,W,12,20,9,1781,3,
Islam Slimani,29,Newcastle United,GBR - Premier League,right,188,Algeria,CF,12,17,6,1471,1,
Dwight Gayle,27,Newcastle United,GBR - Premier League,right,177,England  Jamaica,CF,12,49,20,4094,8,
Joselu,27,Newcastle United,GBR - Premier League,right,192,Spain,CF,12,25,5,1597,2,
Georges-Kevin N'Koudou,23,Burnley FC,GBR - Premier League,right,174,France  Cameroon,W,12,,,,,
Aaron Lennon,30,Burnley FC,GBR - Premier League,right,165,England  Ireland,W,12,46,4,3679,9,
Johann Berg Gudmundsson,27,Burnley FC,GBR - Premier League,left,186,Iceland,W,12,42,6,2321,7,
Jonathan Walters,34,Burnley FC,GBR - Premier League,right,183,Ireland  England,W,12,42,11,3653,4,
Chris Wood,26,Burnley FC,GBR - Premier League,right,191,New Zealand,CF,12,45,23,3623,7,
Sam Vokes,28,Burnley FC,GBR - Premier League,right,186,Wales  England,CF,12,49,4,1821,2,
Nahki Wells,27,Burnley FC,GBR - Premier League,right,170,Bermuda,CF,12,54,26,3538,7,
José Izquierdo,25,Brighton & Hove Albion,GBR - Premier League,right,171,Colombia,W,12,,,,,
Jirí Skalák,26,Brighton & Hove Albion,GBR - Premier League,right,176,Czech Republic,W,12,23,0,854,1,
Anthony Knockaert,26,Brighton & Hove Albion,GBR - Premier League,left,172,France  Belgium,W,12,47,9,3085,7,
Jürgen Locadia,24,Brighton & Hove Albion,GBR - Premier League,right,185,Netherlands  Curacao,CF,12,37,29,2096,4,
Leonardo Ulloa,31,Brighton & Hove Albion,GBR - Premier League,right,188,Argentina  Spain,CF,12,42,16,2793,4,
Sam Baldock,28,Brighton & Hove Albion,GBR - Premier League,right,170,England,CF,12,34,10,2151,2,
Glenn Murray,34,Brighton & Hove Albion,GBR - Premier League,right,186,England,CF,12,45,31,3906,6,
Tomer Hemed,30,Brighton & Hove Albion,GBR - Premier League,right,182,Israel  Poland,CF,12,38,11,2485,2,
Ryan Fraser,24,AFC Bournemouth,GBR - Premier League,right,163,Scotland,W,12,23,0,1257,6,
Junior Stanislas,28,AFC Bournemouth,GBR - Premier League,right,183,England  St. Lucia,W,12,37,5,2370,9,
Marc Pugh,30,AFC Bournemouth,GBR - Premier League,right,180,England,W,12,46,8,3845,10,
Jordon Ibe,22,AFC Bournemouth,GBR - Premier League,right,176,England  Nigeria,W,12,13,1,831,4,
Callum Wilson,26,AFC Bournemouth,GBR - Premier League,right,180,England  Ireland,CF,12,12,1,391,0,
Lys Mousset,22,AFC Bournemouth,GBR - Premier League,right,184,France,CF,12,,,,,
Jermain Defoe,35,AFC Bournemouth,GBR - Premier League,right,171,England  St. Lucia,CF,12,43,15,3027,6,
Tom Ince,26,Huddersfield Town,GBR - Premier League,left,178,England  Barbados,W,12,47,18,4108,14,
Rajiv van La Parra,26,Huddersfield Town,GBR - Premier League,right,181,Netherlands  Suriname,W,12,38,5,2517,3,
Sean Scannell,27,Huddersfield Town,GBR - Premier League,right,176,Ireland  England,W,12,38,3,2300,1,
Steve Mounié,23,Huddersfield Town,GBR - Premier League,right,190,Benin  France,CF,12,,,,,
Laurent Depoitre,29,Huddersfield Town,GBR - Premier League,right,191,Belgium,CF,12,38,15,2989,4,
Elias Kachunga,25,Huddersfield Town,GBR - Premier League,right,178,DR Congo  Germany,CF,12,20,6,1370,2,
Collin Quaner,26,Huddersfield Town,GBR - Premier League,,191,Germany  Ghana,CF,12,16,2,1147,3,
Ryan Babel,31,Besiktas JK,TUR - Süper Lig,right,185,Netherlands  Suriname,W,12,22,5,1305,7,
Jeremain Lens,30,Besiktas JK,TUR - Süper Lig,right,178,Netherlands  Suriname,W,12,40,19,3332,12,
Gökhan Töre,26,Besiktas JK,TUR - Süper Lig,left,176,Turkey  Germany,W,12,7,0,278,0,
Ricardo Quaresma,34,Besiktas JK,TUR - Süper Lig,right,175,Portugal,W,12,,,,,
Cyle Larin,22,Besiktas JK,TUR - Süper Lig,right,188,Canada  Jamaica,CF,12,,,,,
Álvaro Negredo,32,Besiktas JK,TUR - Süper Lig,left,186,Spain,CF,12,42,31,3523,4,
Vágner Love,33,Besiktas JK,TUR - Süper Lig,both,172,Brazil,CF,12,22,12,2014,7,
Mustafa Pektemek,29,Besiktas JK,TUR - Süper Lig,right,182,Turkey,CF,12,9,2,639,1,
Garry Rodrigues,27,Galatasaray SK,TUR - Süper Lig,right,173,Cape Verde  Netherlands,W,12,42,12,3600,10,
Yasin Öztekin,30,Galatasaray SK,TUR - Süper Lig,right,179,Turkey  Germany,W,12,31,4,2027,3,
Sofiane Feghouli,28,Galatasaray SK,TUR - Süper Lig,right,177,Algeria  France,W,12,37,6,2902,7,
Sinan Gümüs,24,Galatasaray SK,TUR - Süper Lig,left,179,Germany,W,12,23,1,717,1,
Bafétimbi Gomis,32,Galatasaray SK,TUR - Süper Lig,right,184,France  Senegal,CF,12,45,21,3243,6,
Eren Derdiyok,29,Galatasaray SK,TUR - Süper Lig,right,191,Switzerland  Turkey,CF,12,20,1,875,1,
Mathieu Valbuena,33,Fenerbahce SK,TUR - Süper Lig,right,167,France,W,12,49,5,3979,15,
Aatif Chahechouhe,31,Fenerbahce SK,TUR - Süper Lig,right,176,Morocco  France,W,12,38,8,3001,8,
Samed Karakoc,20,Fenerbahce SK,TUR - Süper Lig,left,170,Turkey,W,12,,,,,
Vincent Janssen,23,Fenerbahce SK,TUR - Süper Lig,left,183,Netherlands,CF,12,12,6,857,0,
Roberto Soldado,32,Fenerbahce SK,TUR - Süper Lig,both,180,Spain,CF,12,46,30,3680,5,
Fernandão,30,Fenerbahce SK,TUR - Süper Lig,right,192,Brazil,CF,12,35,14,3007,1,
Arda Turan,31,Basaksehir,TUR - Süper Lig,right,177,Turkey,W,12,41,5,2915,8,
Kerim Frei,24,Basaksehir,TUR - Süper Lig,right,171,Turkey  Switzerland,W,12,17,0,801,2,
Eljero Elia,31,Basaksehir,TUR - Süper Lig,right,176,Netherlands,W,12,25,1,1798,3,
Tunay Torun,27,Basaksehir,TUR - Süper Lig,both,176,Turkey  Germany,W,12,16,1,723,1,
Riad Bajic,23,Basaksehir,TUR - Süper Lig,left,189,Bosnia-Herzegovina,CF,12,0,0,0,0,
Emmanuel Adebayor,34,Basaksehir,TUR - Süper Lig,right,192,Togo  Nigeria,CF,12,34,8,2468,2,
